0
"[0.9749062964367201, 40.28014405526446, 29.234144076498527]"
"[0.9743009803356733, 40.763072540890896, 29.33468111635295]"
"[0.9738366511763704, 41.12967702410422, 28.936924742223933]"
""
""
""
""
""
