Linha,R2,RMSE,MAE
325,0.8558054162001523,6.237196601689891,3.708475628930818
325,0.8440012163730188,6.487473034524317,3.730506660900495
325,0.8387052004668916,6.59667582189929,3.78148180592992
384,0.8767046819228412,6.257835965925519,3.903380471380472
384,0.8571638067804661,6.735502720305945,3.992077890011224
325,0.8535381076283101,6.286042026745822,4.0104441675005384
384,0.8457389804263874,6.999692812360815,4.042313443380413
384,0.8660956127210663,6.521511817614495,4.186919226500286
332,0.8193567463061983,7.037291399347875,4.299338299396077
332,0.8148445836432192,7.124639126771196,4.306565656565657
332,0.816782594040353,7.087254463113049,4.3277508417508415
332,0.8382450145390042,6.659222080832063,4.431452052159009
619,0.8310685755942151,6.610709656180474,4.441422618712261
619,0.7894880864888236,7.3795724480753595,4.543743113676447
619,0.7769384807751922,7.596353893891061,4.590049394376667
619,0.7700917400996192,7.712055538565389,4.654042600609268
641,0.8044139733817637,7.701158148984677,4.666210579514825
641,0.7987185149143268,7.812482258194572,4.749010781671158
641,0.8293038787156639,7.194472492647849,4.765384817798989
641,0.8015307174270496,7.757714273849829,4.773061590174949
630,0.9026114301748486,8.925872527282111,5.000875615763547
304,0.8727945845128808,8.485959201067304,5.060620458553792
304,0.8716314913369096,8.524666289307973,5.085188450479562
304,0.8755021117593188,8.395162974331784,5.094863155363156
630,0.8901874994137332,9.478128159791458,5.11136662854797
630,0.8868643676584346,9.620472233609625,5.20408357398793
339,0.8457167597593093,8.890746960749196,5.270951402918071
304,0.8847538361338811,8.07721007113594,5.3066942594178075
225,0.8473079012450806,10.315143968579294,5.31309696969697
225,0.8389635987405973,10.593245564155094,5.323542087542088
339,0.8327377513688302,9.257161486613548,5.345405937683716
225,0.9011115661481268,8.301178659763675,5.386142602228719
225,0.8519580276236765,10.156859452169737,5.396407504409171
339,0.8513486424243919,8.7269666081016,5.416551653970511
339,0.827368743683722,9.404562346167241,5.432000511934755
356,0.9004037540163402,9.234864830922662,5.510715116875269
356,0.9024915500557208,9.137558805074914,5.520167772967773
356,0.892776851408299,9.581937562346095,5.534953519320186
