validations_per_hour
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5
10
69
675
1295
1123
852
693
656
757
838
852
816
877
1342
1662
1333
1075
658
578
441
128
26
72
671
1298
1236
893
862
588
827
832
855
744
829
1391
1737
1543
1122
674
506
457
147
28
78
611
1353
1174
926
808
677
904
811
806
723
947
1434
1686
1402
1074
695
521
419
162
23
44
44
601
601
1094
1094
1188
1188
857
857
730
730
632
632
758
758
783
783
809
809
744
744
891
891
1498
1498
1561
1561
1475
1475
979
979
581
581
457
457
484
484
202
202
49
49
33
374
685
855
722
567
489
620
801
709
587
602
837
799
761
701
455
446
469
205
27
8
31
192
391
377
378
301
394
342
325
413
373
459
472
547
627
498
523
343
233
82
