0
"[0.9667967444143458, 37.84498220363761, 24.651071568080358]"
"[0.9599966237065499, 41.539981122225974, 25.79653577441981]"
"[0.963361888276081, 39.75433677213607, 26.025151925223213]"
""
""
""
""
""
