validations_per_hour,validations_per_hour_predicted
0,20.12
0,20.12
0,17.05
0,20.75
0,20.75
0,17.49
0,22.04
0,21.14
0,18.07
0,18.9
0,18.9
0,16.16
0,20.25
0,20.25
0,17.18
0,19.98
0,19.98
0,17.78
0,19.45
0,19.45
0,16.73
0,20.04
0,20.04
0,17.01
0,20.79
0,20.79
0,17.45
0,22.48
0,21.18
0,18.03
0,19.55
0,19.55
0,16.73
0,20.56
0,20.56
0,17.41
21,58.81
22,64.785
138,200.07
230,218.29
226,332.1
235,219.27
259,358.71
232,221.56
221,227.35
332,215.68
254,210.73
246,356.61
319,222.8
384,546.42
310,589.65
426,594.82
260,616.09
375,374.08
386,372.95
180,231.32
57,58.81
11,50.13
63,61.66
533,639.89
1166,1115.01
985,1062.91
791,665.4
595,610.58
498,600.87
674,671.72
712,643.42
695,666.38
670,659.66
701,715.45
1067,1035.63
1553,1455.83
1332,1115.74
887,745.99
664,655.49
494,377.76
369,375.4
87,50.13
11,57.01
86,72.07
595,704.06
1216,1108.39
1045,995.89
781,659.94
636,664.28
546,662.92
712,651.0
753,659.65
621,653.86
779,688.17
762,671.23
999,1020.31
1459,1291.74
1271,1104.21
783,751.6
643,673.64
497,566.57
298,377.41
96,57.01
18,60.37
82,74.17
571,715.5
1230,1144.13
803,1022.01
894,690.99
691,670.3
600,667.51
664,678.25
751,696.85
714,665.92
721,689.42
720,545.62
1014,1034.27
1417,1435.41
1049,1106.77
720,752.24
534,689.04
437,554.83
457,256.56
102,60.37
41,71.01
79,79.12
537,699.92
1248,1142.83
1140,1051.86
795,668.88
557,645.35
473,646.34
707,655.61
711,692.6
683,665.57
625,663.42
782,700.79
1189,1056.66
1398,1462.94
1309,1108.53
705,788.84
604,659.96
462,381.96
378,373.41
125,71.01
40,71.1
80,79.69
597,627.94
1292,1108.67
1058,1052.42
779,665.65
614,640.7
599,637.48
754,661.67
731,671.3
761,668.06
850,652.5
730,546.39
1167,1036.63
1356,1165.65
1244,1115.24
849,729.29
636,663.0
586,574.33
354,411.48
127,71.1
38,83.97
53,73.73
347,367.34
683,681.41
916,805.78
663,664.23
596,609.09
472,599.89
587,616.11
624,719.7
562,607.63
451,608.58
508,629.0
759,662.04
699,618.63
669,622.38
438,626.68
356,383.93
269,245.59
367,243.03
113,83.97
26,72.07
17,72.07
26,66.375
171,200.14
317,219.1
319,247.04
305,225.92
276,357.53
329,221.21
313,230.1
455,218.14
359,225.91
337,357.51
245,224.02
416,602.36
387,605.04
372,613.3
352,627.82
287,375.55
239,378.37
161,230.17
68,72.07
12,74.91
26,74.91
74,53.48
573,639.18
1337,1136.3
992,1034.68
841,690.45
655,634.53
573,602.66
673,673.61
759,708.8
675,666.45
796,672.41
783,771.53
990,1036.96
1400,1464.62
1073,1130.06
811,770.38
532,652.28
442,385.93
380,380.42
75,74.91
19,64.8
80,78.2
595,692.28
1291,1115.87
932,1009.62
780,679.56
559,692.67
596,640.06
702,673.87
794,708.79
780,683.56
737,666.2
660,677.65
1194,1020.58
1544,1426.06
1131,1119.63
789,828.24
548,655.32
417,568.93
410,380.72
112,64.8
23,77.15
88,77.74
613,660.12
1235,1126.93
1113,1034.09
647,690.73
623,658.29
533,591.23
695,686.45
797,725.1
621,674.86
686,682.07
791,741.63
1116,1024.07
1396,1461.65
1331,1109.94
816,832.92
561,623.73
517,564.13
372,377.82
102,77.15
24,83.42
87,79.69
575,637.35
1276,1141.82
1045,1055.38
769,675.59
645,627.64
457,602.03
715,667.58
722,716.05
664,662.62
703,670.07
594,711.53
1058,1056.57
1282,1475.29
1187,1104.1
856,818.95
576,621.93
435,386.36
359,382.04
132,83.42
34,63.54
97,80.1
501,622.0
1199,1108.44
1094,1052.09
736,672.88
491,606.62
515,602.12
697,674.26
668,694.83
624,672.88
632,671.62
753,775.35
1124,1037.35
1339,1168.38
1198,1112.17
854,590.32
599,629.56
534,517.16
366,413.27
130,63.54
35,84.62
6,84.62
44,76.35
383,367.9
725,669.82
835,827.56
579,666.62
470,601.73
454,594.1
511,613.84
692,706.29
575,596.8
482,600.35
498,626.77
658,663.4
539,620.56
643,616.76
534,619.48
331,368.34
273,246.25
378,257.72
112,84.62
27,49.96
13,49.96
34,66.445
177,197.78
290,223.52
350,222.78
340,219.35
280,220.47
257,216.34
310,218.74
412,214.58
264,222.43
311,251.1
322,217.09
462,585.17
481,545.78
464,592.7
296,620.14
403,383.25
280,379.25
144,206.06
100,49.96
