validations_per_hour,validations_per_hour_predicted
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.02
0,1.08
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,1.04
0,1.04
0,1.19
0,0.05
0,0.05
0,0.1
0,0.0
0,0.0
0,0.0
0,1.04
0,1.04
0,1.19
2,25.052
20,14.88
213,14.64
414,14.64
410,14.15
222,14.13
254,14.13
278,13.572000000000001
260,13.572000000000001
284,13.572000000000001
267,13.572000000000001
296,13.572000000000001
336,13.592
358,16.362000000000002
518,13.112
337,13.112
227,19.99
121,13.302
81,13.302
73,13.302
23,25.052
11,25.432
28,14.73
203,98.5
443,156.82
401,170.24
256,231.45
252,91.93
247,86.1
225,94.55
281,226.05
244,230.38
252,227.41
297,268.71
418,263.93
482,443.0
330,236.55
255,48.15
103,27.041999999999998
91,16.302
61,49.417
37,25.432
10,23.212
25,14.88
233,119.67
482,223.3
486,181.79
231,257.51
275,73.58
296,94.84
274,110.72
307,252.88
283,194.7
330,194.63
330,282.4
453,274.7
532,438.99
333,239.05
192,73.81
116,47.512
98,18.972
78,58.372
23,23.212
14,29.631999999999998
7,15.23
114,51.05
238,238.24
243,256.62
205,250.87
140,107.38
150,94.26
151,108.14
205,240.57
158,97.2
192,107.6
203,254.8
242,274.05
186,268.2
175,249.1
148,171.43
88,73.52
98,73.49
73,114.95
39,29.631999999999998
14,37.7305
59,31.605999999999998
162,78.08
149,181.47
68,112.2
77,112.53
57,81.42
48,116.5
71,114.98
58,74.02
61,99.53
148,242.88
111,242.56
94,287.59
114,276.48
77,59.99
58,78.13
64,85.8
44,63.408
25,37.7305
8,23.29
26,2.57
209,111.7
435,161.62
452,150.96
269,233.52
367,107.33
290,105.85
310,108.75
341,232.51
312,184.45
317,184.38
360,252.59
440,228.48
560,454.25
348,218.44
225,238.17
102,38.3
84,8.92
63,43.48
20,23.29
3,19.48
26,1.46
288,110.05
445,163.4
452,189.2
233,238.38
254,109.21
289,107.71
290,108.88
249,227.42
265,183.46
258,183.39
357,254.08
405,285.26
460,431.43
334,232.84
222,233.92
116,68.91
83,41.03
57,51.6
34,19.48
4,14.1975
28,1.46
205,184.71
386,173.72
444,186.75
266,238.23
216,110.04
252,106.67
255,112.26
309,227.51
270,197.3
275,233.46
355,258.12
386,284.45
455,450.95
339,190.46
168,273.27
100,39.76
89,38.82
56,48.25
37,14.1975
11,20.59
29,2.9
212,109.64
396,174.92
471,206.8
247,237.04
225,106.37
242,103.34
266,108.03
295,223.88
298,228.02
274,225.05
370,253.82
406,271.65
501,453.8
318,177.76
195,249.55
109,41.75
81,20.55
87,45.553999999999995
30,20.59
8,24.35
2,2.19
103,36.72
152,44.51
185,98.45
91,113.15
104,44.03
83,38.96
81,39.01
105,111.34
95,95.63
110,101.78
149,272.22
115,72.51
197,287.29
122,263.37
104,263.46
75,41.03
74,38.24
39,95.55
32,24.35
7,25.02
3,0.88
109,40.9
286,245.34
226,247.01
170,242.32
118,109.29
131,104.47
102,111.68
186,236.92
143,99.22
170,111.97
245,249.76
220,265.4
197,268.26
135,248.32
119,250.03
100,45.4
54,76.47
84,121.23
32,25.02
14,33.236
1,2.16
51,29.006
122,98.8
100,233.36
63,114.02
74,114.97
53,98.36
44,116.12
77,112.06
61,83.57
122,101.37
106,244.72
83,262.73
97,281.77
95,270.54
83,63.37
41,81.03
49,80.42
55,56.856
37,33.236
5,24.55
28,1.87
202,42.44
411,45.67
402,97.71
202,112.12
251,45.47
290,40.51
299,40.36
307,112.12
232,95.49
263,101.05
307,256.9
460,68.78
448,268.67
313,246.71
218,248.67
109,41.25
57,12.38
62,80.25
26,24.55
1,15.0925
28,1.19
224,111.1
412,168.9
418,188.9
282,235.9
275,108.58
288,108.81
234,111.06
250,227.21
243,182.71
281,182.73
277,255.22
404,271.61
526,436.66
339,192.84
186,238.56
105,48.04
81,19.32
58,50.37
25,15.0925
3,16.51
27,1.19
224,179.89
383,171.88
443,185.76
243,236.97
240,111.13
224,109.51
252,114.01
230,225.88
215,182.47
267,233.29
312,257.32
444,290.23
496,448.84
313,206.69
198,272.6
104,38.85
70,9.4
71,49.46
27,16.51
9,19.0625
29,1.04
212,176.54
381,174.88
441,252.42
269,233.15
293,108.85
240,106.0
186,109.56
221,221.63
232,226.37
231,222.76
322,253.48
369,294.29
494,454.23
356,178.11
208,249.15
102,40.54
72,6.42
60,43.795
30,19.0625
8,19.455
27,1.24
224,187.44
378,172.97
340,226.14
250,254.48
231,100.95
251,99.78
247,118.64
281,245.75
272,188.58
298,232.63
331,270.74
489,297.63
477,449.28
318,184.9
226,265.86
113,43.54
88,7.94
64,51.77
29,19.455
7,23.375
5,0.83
132,66.94
252,243.08
284,245.95
223,240.98
140,108.81
129,105.46
136,110.29
192,236.83
149,111.33
180,183.94
220,255.1
208,263.74
196,262.14
190,252.73
154,251.3
89,71.04
81,74.48
71,105.26
21,23.375
16,32.4725
2,1.03
76,24.71
155,100.88
131,224.26
73,114.52
57,119.59
39,101.77
53,119.26
66,114.82
69,84.27
69,107.31
132,240.61
108,251.79
104,281.74
100,270.15
80,64.36
48,81.86
45,81.1
43,53.8
29,32.4725
