validations_per_hour,validations_per_hour_predicted
0,2.2
0,1.8453333333333333
0,1.8153333333333332
0,1.7453333333333334
0,2.2
0,1.6983333333333335
0,1.5836666666666668
0,1.5236666666666667
0,1.4636666666666671
0,1.6983333333333335
0,1.4752380952380952
0,1.5615714285714288
0,1.5015714285714288
0,1.4332380952380952
0,1.4752380952380952
0,1.47
0,1.5913333333333333
0,1.5313333333333332
0,1.3813333333333333
0,1.8
0,1.6313333333333333
0,1.5713333333333332
0,1.4413333333333334
0,1.31
0,1.5113333333333336
0,1.4713333333333332
0,1.3713333333333333
0,1.34
0,1.5213333333333332
0,1.4613333333333332
0,1.3713333333333333
0,1.57
0,1.5213333333333332
0,1.4613333333333332
0,1.4213333333333333
0,1.57
8,12.23
13,17.7
20,13.41
18,15.44
1,12.61
16,12.8
2,13.89
5,13.76
9,12.37
9,13.05
5,12.72
18,12.49
14,12.22
24,18.67
11,11.59
1,6.84
5,4.86
3,3.37
1,3.09
6,17.92
22,23.81
17,23.11
9,25.45
2,19.38
11,24.57
13,20.16
11,19.51
5,18.54
8,12.88
6,16.75
16,16.49
21,18.36
16,21.24
16,16.62
9,7.48
4,4.07
3,3.84
3,2.94
18,19.54
42,29.21
62,26.18
66,25.9
34,20.11
18,21.57
31,19.77
24,19.69
38,19.93
30,13.96
18,18.2
18,17.62
26,17.92
28,20.32
44,16.58
24,13.91
12,4.21
6,3.6
1,2.78
15,18.36
49,29.11
55,25.93
54,23.5
42,18.55
17,24.0
19,19.03
15,18.78
42,19.0
24,16.67
28,17.49
19,17.14
17,17.67
25,20.68
42,17.16
23,12.7
6,4.11
13,3.42
11,2.94
1,1.7
11,17.8
47,29.29
50,25.74
48,26.1
32,17.69
30,21.22
31,18.3
26,18.09
24,17.35
24,13.48
12,16.92
26,16.52
26,17.29
29,19.99
28,17.28
21,13.5
12,4.28
8,3.5
9,2.74
1,2.08
10,17.09
45,24.01
49,24.66
60,24.34
20,17.75
21,20.35
30,18.72
24,18.59
34,18.86
22,15.2
17,17.67
20,15.78
18,16.55
35,17.1
36,16.1
22,13.99
17,4.2
8,3.67
7,2.82
3,1.38
19,17.26
33,21.11
63,22.08
40,16.6
23,16.09
29,19.68
26,15.82
21,18.12
29,15.73
20,14.17
22,16.44
24,16.85
27,17.12
22,15.92
14,16.36
19,13.59
10,4.35
12,3.64
8,2.86
5,1.43
11,13.59
14,17.07
15,14.39
18,13.42
4,12.72
20,13.99
11,13.47
14,13.36
6,14.34
12,13.41
16,13.99
9,13.64
12,13.04
39,17.58
9,13.62
7,6.96
13,4.8
12,3.66
1,2.77
16,18.02
35,29.33
50,26.23
57,24.85
19,18.86
29,23.26
22,18.67
28,18.62
28,17.17
19,13.56
16,18.24
17,17.29
26,17.67
26,21.3
41,17.17
23,14.21
7,4.77
7,3.81
3,2.82
1,1.35
10,19.31
37,29.38
50,26.45
70,26.96
28,20.19
21,21.84
19,18.85
32,18.93
27,16.81
24,15.74
30,17.15
21,16.58
36,16.99
23,17.21
30,15.68
12,14.16
22,4.39
8,3.56
8,2.55
10,20.52
37,29.37
44,27.6
47,24.64
23,17.73
26,23.26
22,18.94
30,19.04
30,19.05
15,16.99
18,18.16
28,18.6
28,17.52
24,20.19
30,16.73
18,9.53
7,4.09
9,3.29
2,2.75
1,1.46
16,20.63
16,20.63
38,29.49
38,29.49
67,25.85
67,25.85
58,26.65
58,26.65
24,17.53
24,17.53
16,22.11
16,22.11
21,18.05
21,18.05
37,18.48
37,18.48
18,16.27
18,16.27
19,16.09
19,16.09
21,17.2
21,17.2
27,16.74
27,16.74
24,17.55
24,17.55
31,17.11
31,17.11
24,17.49
24,17.49
21,13.38
21,13.38
15,4.39
15,4.39
8,3.32
8,3.32
4,2.48
4,2.48
20,17.36
32,21.28
57,22.53
44,16.86
34,13.41
17,19.77
31,16.77
26,17.86
25,16.21
20,13.86
28,17.09
20,16.99
32,16.0
18,16.95
21,14.44
21,13.73
19,4.61
12,3.37
9,2.87
8,12.99
11,13.83
17,11.5
23,12.42
43,11.97
19,12.81
27,13.15
43,13.13
36,12.83
27,12.15
39,13.05
29,11.71
11,6.77
3,16.81
21,12.85
14,5.45
10,3.73
5,3.9
6,2.465
3,1.9883333333333335
