validations_per_hour,validations_per_hour_predicted
0,0.5133333333333333
0,0.4
0,0.29
0,1.5744999999999998
0,0.3
0,0.3
0,0.29
0,1.5744999999999998
0,0.3
0,0.3
0,0.29
0,2.3
0,1.9029999999999998
0,0.3
0,0.3
0,0.29
0,2.435
0,0.3
0,0.3
0,0.29
0,3.38
0,2.435
0,1.982
0,0.36
0,0.36
0,0.36
0,1.982
0,0.38
0,0.38
0,0.38
0,1.7294999999999998
0,2.012
0,0.38
0,0.38
0,0.38
0,2.012
0,1.3935
0,0.38
0,0.38
0,0.38
0,1.3935
0,1.321
0,0.38
0,0.38
0,0.38
0,8.81
0,1.321
0,1.0285
0,0.37
0,0.37
0,0.37
0,1.0285
0,0.37
0,0.37
0,0.37
0,5.32
1,2.7725
14,14.94
11,27.49
22,36.86
20,27.28
5,13.19
23,13.27
14,13.14
1,13.5
4,13.36
10,13.79
8,13.92
5,14.1
17,9.42
16,22.78
11,9.42
3,11.85
4,3.73
1,2.44
3,1.78
2,2.7725
11,13.69
20,21.32
30,35.68
22,24.22
20,12.59
16,13.27
12,12.93
14,12.09
9,12.24
6,12.5
14,12.58
9,12.14
23,12.44
25,22.65
12,14.08
5,10.28
5,3.58
3,3.6
2,3.52
1,1.9029999999999998
9,14.44
17,23.58
16,35.48
25,22.12
15,14.27
17,12.66
4,12.97
12,12.33
15,12.25
9,13.38
10,12.53
7,12.76
12,13.35
19,13.21
14,13.88
12,13.35
6,9.99
2,2.3
1,1.1909999999999998
12,0.63
16,2.05
15,9.86
13,3.48
11,0.51
10,0.7425
16,0.83
14,0.89
10,0.44
5,1.3825
2,0.77
8,0.91
20,0.64
26,3.2
7,0.64
15,0.64
6,2.89
2,0.35
2,0.99
2,1.1909999999999998
6,9.14
14,9.0
9,9.3
10,9.7
10,2.8475
5,9.34
11,8.82
7,9.24
11,11.25
19,5.08
12,8.2
12,10.45
8,3.58
21,12.38
4,4.87
6,3.265
2,3.56
2,1.73
12,13.61
29,35.68
18,37.99
27,36.53
15,12.63
23,12.39
6,12.88
11,11.98
19,12.52
7,12.74
5,12.2
15,12.26
15,12.4
27,26.49
20,10.86
7,10.23
4,3.98
7,2.33
4,2.7625
1,2.0069999999999997
11,15.11
28,23.78
26,40.05
25,32.64
17,12.88
25,14.44
19,12.87
15,11.47
22,12.52
15,12.87
20,12.94
26,12.54
12,10.75
29,26.77
19,12.13
10,10.0
5,4.11
4,3.64
4,2.7625
9,15.51
35,30.74
31,40.85
16,31.33
16,13.56
20,13.84
18,13.65
15,13.52
18,13.54
18,13.93
19,14.79
18,13.91
20,9.75
18,25.71
23,14.0
14,9.27
5,3.92
4,2.47
4,1.55
14,14.49
20,24.17
17,35.93
18,30.41
19,13.82
18,13.36
6,13.91
9,12.17
13,12.37
7,13.69
8,13.75
11,12.3
11,12.38
24,25.3
27,12.74
12,10.33
4,4.07
1,3.43
2,2.4225
6,15.47
14,31.04
8,36.55
5,26.91
3,14.04
11,13.69
8,13.11
10,12.61
18,12.77
6,13.64
9,13.74
12,13.56
14,12.64
8,24.16
9,13.16
2,13.93
2,2.18
2,2.62
11,3.12
8,9.2
22,17.64
19,9.63
2,1.94
11,4.86
6,8.53
13,8.66
8,8.35
7,6.2
9,4.32
18,4.49
12,4.01
11,5.68
12,3.86
10,3.86
4,3.83
4,1.4625
4,1.64
2,2.31
6,8.68
9,8.57
6,9.43
9,9.25
9,3.1075
2,8.82
9,8.69
10,8.93
10,11.25
4,6.6
6,7.66
14,10.18
8,4.04
11,12.19
10,6.67
2,4.31
8,3.3
1,2.3125
1,2.31
16,15.64
22,35.16
29,49.71
17,36.66
18,14.27
22,13.78
21,14.21
16,13.34
8,13.55
10,13.95
10,14.55
14,13.55
16,13.28
16,36.36
19,13.91
4,10.01
4,4.14
2,2.43
1,3.1625
13,16.04
25,29.66
27,49.47
31,35.74
12,15.12
17,14.82
13,14.41
8,14.04
14,14.48
14,14.38
17,15.0
10,13.33
15,12.39
19,30.72
18,14.36
7,11.21
6,4.13
2,3.16
1,1.901
20,16.66
31,35.15
26,49.71
24,35.88
9,16.05
18,16.23
20,15.28
12,14.1
12,15.07
8,15.23
10,15.86
19,15.33
19,13.26
20,33.04
9,13.9
3,9.74
6,3.94
2,3.33
1,1.84
19,15.23
25,34.47
35,36.22
29,35.37
10,15.41
14,14.55
14,14.47
13,14.59
11,13.81
12,14.78
19,14.34
9,12.52
13,12.27
14,32.43
19,14.69
8,10.22
6,4.11
3,3.15
2,2.2925
2,1.421
1,1.341
15,15.36
25,29.27
19,47.99
22,30.99
12,14.87
22,14.29
20,13.97
22,14.9
15,13.96
9,14.71
13,14.33
6,13.42
13,13.04
16,23.96
11,14.58
11,13.35
3,8.89
1,2.67
2,2.7325
13,9.45
20,15.55
19,18.53
14,16.63
1,6.53
19,9.14
11,11.65
12,10.08
9,9.6
5,9.21
5,7.4
7,6.98
6,5.98
9,11.14
16,7.01
13,6.72
5,3.92
1,2.28
2,2.15
1,1.045
1,2.1425
6,8.85
9,9.28
10,9.43
6,9.41
2,3.44
8,9.47
5,10.1
8,8.28
7,9.07
7,7.78
6,8.56
10,9.77
2,4.09
15,13.86
11,6.57
1,4.07
5,5.33
2,2.54
2,2.1425
