Linha,R2,RMSE,MAE,MAPE
332,0.812521723055325,10.061140093811053,6.8101847507331374,4.858824900031814e+16
384,0.9213695076554912,11.218794348216122,7.331378299120234,6.892752626172031e+16
325,0.9157137252488872,11.508019383963763,7.514346692733789,2.6648498968113864e+16
339,0.9096622510280891,11.965398149818311,7.666490713587487,3.2352838378832656e+16
313,0.9580782420528633,14.390294637893831,8.48700879765396,3.678600047537427e+16
630,0.9494395123793843,13.087795198291404,8.596237397011592,5.487883411033132e+16
392,0.9005709942396938,13.330543586804794,8.827466601498859,1.103227826607086e+16
383,0.9174333112580599,14.402833231107307,9.498162267839685,6.688924021336006e+16
361,0.883512261752625,13.98145343924246,9.566021505376344,5.509095379952533e+16
83,0.9561128856921846,16.28382098000036,9.950000000000003,1.149848667324438e+17
7,0.9403890665050059,15.04580070900517,10.145299283154122,6.8846596473695064e+16
369,0.9551566316708707,16.0795168831381,10.778222548061256,4.882274728003589e+16
5,0.9563933747684185,18.536725185725665,11.205532740998839,2.2706929633415364e+16
312,0.9271838820204532,17.339403084181935,11.20553274682307,6.934134675533989e+16
381,0.9337822854114067,18.066172028123603,11.32427174975562,1.0046152834466756e+16
327,0.9674407193685819,18.290477981471746,11.326104920169437,1.6364076511132877e+17
618,0.9336259245563892,17.750088597564176,11.334793511148352,5.7339273663770824e+16
376,0.947350634798149,19.516014410608367,11.335278592375367,6.917845996529815e+16
628,0.9094353523084601,17.380449781409734,11.3819550342131,1.8366586163626332e+16
214,0.9576931485563638,21.155316022035212,11.42745845552297,4.467500392820705e+16
613,0.9549670877170275,18.87024931893386,11.568302913931948,1.2454125861036608e+17
366,0.9645672602606059,19.772293637788326,11.829462365591398,4.509762911318023e+16
397,0.9357576584565332,19.83755203260004,12.082043519748764,1.8276283120543306e+17
636,0.9143920246384696,18.85178537346092,12.128433738304706,8.149769061755466e+16
403,0.934221209822402,18.65467936439294,12.199444933202997,3.764005553667426e+16
832,0.9583711629340449,19.732317623904247,12.218442117022763,2.3239535256037866e+17
362,0.9632714399608397,21.98920550057087,12.247613810920262,4.011123890992022e+16
626,0.9245345458362757,19.731986851664505,12.332879439556859,3.4381879501271612e+16
622,0.9250038489896227,19.39763530177221,12.566866568914957,4.723276676643017e+16
122,0.9466515632793945,22.7470663236891,12.763241446725319,2.0952083779613296e+17
621,0.9399244971583944,20.539019601092928,12.929018084066472,3.6276795825423944e+16
391,0.9141504991962072,19.80724779107166,13.092549038774845,1.9048406787564118e+17
8,0.8757612295669904,22.18316626200425,13.160944227642277,8.793040277338637e+16
336,0.9523570497691229,21.504247637877576,13.298103616813293,2.543675332057355e+16
379,0.9645337260704413,22.544205739237796,13.407192407950472,2.972573859619985e+16
804,0.9719127839730324,22.201428667280364,13.459857585067263,2.103016671743421e+17
632,0.9447786067480726,21.95945323804478,13.491235092864127,5.580596810986624e+16
345,0.9810117840114764,23.873782744143224,13.682096913838848,1.975537947980209e+16
212,0.941523348703424,25.437608142583695,13.727380254154447,8.440617366136317e+16
317,0.9632612656394441,22.327559346105456,13.907174975562073,1.0325701784943792e+17
502,0.9578512871424696,24.87332610871845,14.183734115347018,8.283893860042096e+16
337,0.9509484880776115,22.280329276992592,14.277763440860216,1.052399077146984e+17
466,0.9396736348920831,21.93060595072224,14.47920975609756,4.87091760673457e+16
