Linha,R2,RMSE,MAE,MAPE
339,0.9020780767410234,12.258247431275725,8.128344417077177,8.566545325683622e+16
325,0.8890469578217108,13.348829412797373,8.413255439244663,1.0030631177451019e+17
330,0.9264932285539551,15.349760884705605,8.781560960591133,2.3248538938476234e+17
332,0.8451715347259936,14.072539699797703,8.966417334154857,1.147572497286025e+17
339,0.866282792727831,14.324585525311058,9.259118708231588,4.814805916999532e+17
339,0.8379635664973565,15.768658714169758,9.408875649887369,4.56908718609952e+17
339,0.8107251766633493,17.042560353671124,9.472963782141846,4.918641794485311e+17
332,0.8423273497522549,14.201207130513286,9.52216323880521,3.752977706970712e+17
339,0.803135000725179,17.380916401020283,9.668108374384238,4.956286727230269e+17
304,0.9212451041660463,14.349389239636375,9.683314849044978,7.989370939695858e+16
325,0.8562052417859989,15.196553500228347,9.702096184655902,5.400189222647125e+17
332,0.803068576313922,15.871010843104173,9.71169273145045,3.644807977584548e+17
814,0.9478203158043892,16.472910448683283,9.718388375436435,2.0288133600465056e+17
332,0.8018912779802896,15.918380307620396,9.775202182906435,3.480311310559008e+17
332,0.819860529189911,15.179292136616397,9.800566342639778,3.770407772150577e+17
330,0.900984682818648,17.81513558423225,9.890854962198175,6.236720261888198e+17
325,0.800300280732978,17.908627495302685,10.101163178600956,6.034543458348988e+17
330,0.8809444041869323,19.534974418421857,10.156374120337789,5.486518037282027e+17
325,0.8208001054256925,16.96455417010365,10.197838797129736,5.288336889254214e+17
325,0.7930034720349848,18.23287297718042,10.20772249589491,6.216279186894282e+17
330,0.8733959356081389,20.144744546429624,10.32105628873726,6.24403430903852e+17
383,0.8778524854163927,16.61635398809059,10.446011706715959,1.9049116479321904e+17
330,0.8797924759622453,19.629252717761737,10.576559309210612,5.534551059689503e+17
361,0.8485445727254104,16.132088404749783,10.716206588669952,7.292133859700328e+16
342,0.9530219679189945,21.11639447044633,10.881328715106733,2.530432771296078e+17
304,0.903853478443153,15.854823949075765,10.971188709893452,6.25000263755089e+17
356,0.9095134255980143,16.55099144598857,10.971319273399015,1.2977244344977203e+17
383,0.8633472617264818,17.575293556940217,11.076155441339465,3.247111281907225e+17
383,0.8621562808412887,17.651715110444943,11.09303566294047,3.173931030178897e+17
814,0.9288942413424406,19.22967753512246,11.144800322701878,7.068090145843852e+17
7,0.9301033596459607,17.792742630983074,11.17910793845435,1.69518462920638e+17
