R2,RMSE,MAE,MAPE
0.9484105265770633,96.77941462416851,55.580184081481214,5.22131903293542e+18
0.9507600663302876,94.54992159127255,58.30819631815627,4.691328722293033e+18
0.920116874087156,120.4286918515552,69.60472377163777,5.534315140480203e+18
0.8836524592263572,145.33862509754314,70.63367943467438,7.194413488711322e+18
0.9160858058261905,123.42983761091408,70.77804516497386,6.193473390485217e+18
0.8862977454112209,143.6769107793617,72.06819682004335,6.71539022817725e+18
0.8121508773278919,184.6745412884852,88.65120854412591,7.237403583299331e+18
0.5065752598716536,299.30426395718007,229.02107821724059,1.486959258488733e+19
0.5065692072011454,299.30609968245756,229.04571475894846,1.4870517947668396e+19
0.506547021527884,299.31282831876354,229.11017425519955,1.4847449024467655e+19
0.506240035169744,299.40591790654906,229.18800941540192,1.4896119354757687e+19
-0.0023736226928459114,426.5964708414922,355.37417490756025,3.3118825695039762e+19
