R2,RMSE,MAE,MAPE
0.9403179619533015,84.60819688376431,54.12160665415296,3.1828026386425027e+18
0.9409543860451444,84.15587473827445,55.04029615264456,3.0886567529769754e+18
0.9036317114704864,107.51218548807854,63.02289063874011,3.288504884024282e+18
0.9191960607163507,98.44799687721681,63.286099334353395,2.6338132076730993e+18
0.9208347478385718,97.44463133562867,63.71101757601438,3.1955830552266747e+18
0.8945826786977311,112.44667171100643,65.28239281050976,3.3117040505546906e+18
0.808658112309087,151.49407378784542,80.83659764969222,2.7513037007276836e+18
0.41063986201193325,265.8771387300533,205.0798080727589,9.39320696543374e+18
0.41063986201193614,265.8771387300526,205.0798080727622,9.393206965434622e+18
0.4106963691394072,265.8643924374733,205.08673133360602,9.399633042838673e+18
0.4109378472419708,265.8099154210086,205.3258243784669,9.550651014738065e+18
-0.0018459755300814784,346.6499134628517,275.4012224790002,2.810463404249431e+19
