R2,RMSE,MAE,MAPE
0.9426012683724455,86.52586998348986,55.40453314332654,3.6369697921119944e+18
0.9437970652414633,85.61982261095223,55.791907963052644,3.4307045894504166e+18
0.9253710648068748,98.66166707072077,63.419852747819824,3.263001642309922e+18
0.9237037102405776,99.75772498481378,63.59998802660077,2.6943217161877586e+18
0.9008408207493152,113.72639914197691,64.26006323626237,3.443370928037838e+18
0.8906424498739799,119.43158969783822,67.43234465086483,3.693892889545304e+18
0.8226288332938085,152.10249505593967,83.10594170403587,3.181550790568966e+18
0.417282613266732,275.69177850364474,214.24743435331774,9.243694296921215e+18
0.41728261326673144,275.69177850364485,214.24743435331894,9.243694296921502e+18
0.4173908922323427,275.66616316407436,214.24896359569334,9.247200465008826e+18
0.41735099804726217,275.6756011290241,214.82596671707623,9.329345630520046e+18
-0.0024535618868395392,361.5987816123467,290.2288706382686,2.9888275789858906e+19
