validations_per_hour,validations_per_hour_predicted
0,18.705
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,3.34
124,64.25
196,86.79
275,129.92
198,62.25
267,63.46
210,63.52
290,73.3
267,64.1
154,65.26
246,72.25
281,87.9
309,139.65
326,138.54
300,125.29
374,133.71
311,62.27
308,66.04
182,54.35
86,18.705
23,20.975
9,22.725
118,221.85
284,382.72
321,374.5
273,221.87
228,219.17
176,215.38
165,222.32
173,222.39
200,223.0
241,216.3
280,274.73
388,449.97
377,584.63
310,381.56
292,219.17
160,120.76
159,64.94
277,60.6
98,20.975
39,19.8
52,21.15
447,230.87
972,393.57
1103,394.48
606,235.38
400,234.18
427,219.82
437,220.04
543,236.26
481,232.21
530,255.98
637,319.37
985,456.63
1233,590.67
846,389.88
421,219.0
153,121.11
120,67.4
197,59.94
84,19.8
14,19.58
54,21.4
438,233.31
916,396.56
976,396.25
604,225.49
436,233.8
428,230.63
386,234.12
539,287.54
445,218.05
520,235.68
643,313.94
957,546.72
1238,598.26
938,394.24
415,218.92
176,135.25
166,68.22
199,59.66
96,19.58
27,18.708
61,21.43
503,229.79
898,391.49
946,392.77
601,223.36
347,229.31
381,218.45
402,224.23
544,232.06
490,219.36
484,227.56
691,309.77
912,465.19
1299,570.67
988,388.18
429,216.89
199,134.91
160,71.6
183,70.28
110,18.708
29,19.7875
56,21.27
510,231.45
992,388.86
1111,391.41
616,225.94
437,231.2
371,218.36
408,233.43
583,279.5
528,219.35
581,274.74
719,304.11
1067,508.1
1172,588.73
931,392.66
497,218.25
213,134.33
166,71.8
211,59.97
119,19.7875
30,25.795
39,23.01
348,229.18
704,390.83
830,396.91
616,273.7
496,218.1
398,215.27
500,271.66
597,323.42
496,218.52
525,216.78
610,282.88
660,383.91
497,326.55
493,212.11
507,213.83
300,138.7
241,72.74
394,61.51
159,25.795
53,19.325
9,3.34
117,65.03
252,88.53
267,131.66
234,62.16
247,64.06
207,63.64
226,74.39
314,64.35
178,65.76
255,72.36
287,89.64
348,141.59
348,140.55
283,126.88
354,84.15
318,139.11
253,67.43
164,59.54
100,19.325
29,22.975
51,21.315
506,224.31
989,389.54
952,390.43
591,224.3
465,223.4
422,214.14
431,217.07
539,215.04
468,218.34
499,228.71
667,290.23
969,506.36
1236,596.78
895,391.59
395,221.86
192,199.59
174,67.41
198,61.0
89,22.975
12,20.4275
56,19.55
528,234.66
987,397.7
1005,399.0
600,228.2
395,228.6
406,280.25
424,323.87
537,334.07
495,282.62
493,316.78
658,306.63
890,511.12
1349,598.7
939,396.7
382,217.09
203,197.39
143,72.2
215,59.86
100,20.4275
25,20.9875
45,21.73
543,230.68
983,392.35
894,401.39
551,224.94
411,223.7
415,296.44
443,340.76
522,338.36
506,234.04
448,318.35
775,309.92
973,533.76
1309,596.79
923,399.86
463,216.19
184,215.05
136,73.46
246,61.81
101,20.9875
27,21.507999999999996
53,23.280500000000004
53,23.280500000000004
503,226.96
503,226.96
920,395.77
920,395.77
1026,397.15
1026,397.15
582,214.91
582,214.91
395,221.28
395,221.28
394,276.1
394,276.1
433,278.54
433,278.54
517,283.12
517,283.12
454,226.85
454,226.85
529,272.06
529,272.06
661,307.22
661,307.22
930,531.52
930,531.52
1219,586.17
1219,586.17
882,392.66
882,392.66
486,214.52
486,214.52
225,215.19
225,215.19
151,73.9
151,73.9
246,69.3
246,69.3
115,21.507999999999996
115,21.507999999999996
30,19.834
30,19.834
29,26.74
306,225.08
561,386.08
776,392.07
610,284.24
443,226.58
426,297.95
506,325.45
547,327.89
458,295.92
453,270.64
619,301.14
578,393.25
556,344.79
453,219.66
476,211.93
279,203.0
168,75.79
359,69.08
195,24.38
45,21.5275
6,2.54
133,71.01
188,146.86
232,138.86
214,145.37
222,72.13
292,73.36
284,130.92
314,73.4
260,77.73
265,72.36
336,148.83
206,136.85
190,135.0
154,130.24
244,75.13
183,137.69
180,76.18
194,57.89
99,21.5275
