validations_per_hour,validations_per_hour_predicted
0,23.415
0,12.7
0,15.67
0,48.5
0,68.195
0,49.95
0,49.23
0,70.155
0,62.2
0,51.8
0,49.6
0,68.575
0,55.32
0,48.445
0,12.26
0,55.24
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,41.82333333333334
20,52.37833333333333
213,304.96
414,661.32
410,602.13
222,462.54
254,321.89
278,310.88
260,413.97
284,491.25
267,397.27
296,399.51
336,513.32
358,607.7
518,755.37
337,587.14
227,464.33
121,293.5
81,226.15
73,240.47
23,41.82333333333334
11,54.25
28,52.585
203,367.49
443,657.04
401,594.43
256,491.49
252,391.74
247,387.62
225,432.71
281,452.64
244,420.3
252,433.88
297,454.79
418,619.36
482,877.14
330,680.58
255,445.3
103,251.82
91,233.59
61,245.64
37,54.25
10,66.89214285714286
25,53.375
233,447.73
482,661.97
486,676.06
231,493.37
275,433.05
296,444.71
274,474.63
307,463.1
283,482.71
330,431.18
330,455.47
453,623.09
532,867.46
333,671.4
192,449.54
116,303.99
98,232.5
78,249.79
23,66.89214285714286
14,57.075
7,56.925
114,257.49
238,626.78
243,524.73
205,331.56
140,328.68
150,320.69
151,358.24
205,473.77
158,295.7
192,308.73
203,364.63
242,480.01
186,402.55
175,295.89
148,295.55
88,188.94
98,154.21
73,152.79
39,57.075
14,59.17
59,118.55
162,248.44
149,270.49
68,171.1
77,172.33
57,140.39
48,173.93
71,280.27
58,181.73
61,240.91
148,257.21
111,272.67
94,307.59
114,265.69
77,306.09
58,185.96
64,189.26
44,123.53
25,59.17
8,50.715
26,56.52
209,316.26
435,569.23
452,595.28
269,518.35
367,400.4
290,391.45
310,447.19
341,472.48
312,478.89
317,440.89
360,470.77
440,611.56
560,874.78
348,674.37
225,472.42
102,267.58
84,254.06
63,259.99
20,50.715
3,62.535
26,57.48
288,431.41
445,653.64
452,598.86
233,525.3
254,395.48
289,406.7
290,449.47
249,475.54
265,432.17
258,411.63
357,484.01
405,615.99
460,849.89
334,695.16
222,463.96
116,261.6
83,224.94
57,259.59
34,62.535
4,61.665
28,58.81333333333333
205,305.52
386,652.67
444,595.45
266,427.03
216,330.98
252,318.52
255,407.56
309,486.35
270,400.01
275,405.1
355,514.79
386,602.37
455,825.82
339,585.15
168,492.48
100,297.58
89,221.8
56,249.46
37,61.665
11,57.335
29,51.8
212,348.64
396,655.24
471,594.12
247,461.26
225,399.12
242,398.16
266,405.89
295,490.74
298,439.83
274,391.35
370,498.66
406,606.31
501,854.01
318,593.64
195,493.25
109,279.81
81,245.45
87,254.48
30,57.335
8,64.00714285714285
2,51.5
103,415.26
152,659.18
185,634.57
91,519.15
104,398.67
83,390.38
81,432.13
105,478.91
95,439.58
110,398.49
149,485.12
115,616.71
197,864.7
122,672.05
104,467.06
75,299.11
74,231.89
39,245.24
32,64.00714285714285
7,58.845
3,52.105
109,257.53
286,652.74
226,508.47
170,322.88
118,326.4
131,273.78
102,368.3
186,409.63
143,298.25
170,316.12
245,355.73
220,524.93
197,406.46
135,294.73
119,295.99
100,179.66
54,147.8
84,144.62
32,58.845
14,59.645
1,45.165
51,119.43
122,270.26
100,292.59
63,170.24
74,167.6
53,140.73
44,172.89
77,296.71
61,181.45
122,275.68
106,277.25
83,288.98
97,317.66
95,284.65
83,303.12
41,202.85
49,185.74
55,124.26
37,59.645
5,58.47
28,40.135
202,302.93
411,562.92
402,588.21
202,461.91
251,337.07
290,312.03
299,416.11
307,406.42
232,382.93
263,392.07
307,525.57
460,614.53
448,757.3
313,596.57
218,471.2
109,266.17
57,223.04
62,263.64
26,58.47
1,57.71
28,40.81
224,301.43
412,577.68
418,590.85
282,406.4
275,329.75
288,315.53
234,310.73
250,397.91
243,340.62
281,328.01
277,475.77
404,614.32
526,687.4
339,584.35
186,415.55
105,201.28
81,156.07
58,151.3
25,57.71
3,37.848333333333336
27,39.83
224,304.47
383,569.99
443,508.7
243,335.34
240,331.39
224,318.01
252,319.25
230,329.35
215,305.24
267,321.46
312,403.77
444,568.77
496,675.55
313,524.61
198,378.92
104,242.06
70,150.66
71,127.81
27,37.848333333333336
9,63.7
29,38.4
212,303.41
381,632.96
441,561.71
269,402.43
293,329.68
240,317.4
186,314.17
221,396.11
232,319.96
231,315.32
322,427.3
369,596.81
494,675.1
356,527.12
208,303.1
102,198.29
72,151.99
60,141.93
30,63.7
8,66.46
27,39.29
224,414.8
378,656.47
340,593.1
250,472.31
231,325.35
251,324.05
247,414.84
281,401.12
272,386.2
298,394.56
331,496.41
489,608.39
477,724.75
318,580.86
226,302.02
113,236.51
88,160.5
64,148.23
29,66.46
7,65.575
5,13.61
132,253.3
252,588.22
284,477.99
223,329.77
140,266.56
129,233.65
136,268.36
192,314.05
149,264.04
180,255.98
220,319.22
208,363.42
196,363.25
190,297.71
154,240.09
89,130.66
81,128.64
71,128.74
21,65.575
16,64.555
2,14.83
76,117.45
155,234.96
131,238.98
73,139.36
57,126.15
39,122.13
53,125.1
66,126.57
69,125.42
69,132.44
132,139.18
108,183.85
104,204.1
100,171.12
80,138.12
48,76.12
45,75.49
43,69.655
29,64.555
