validations_per_hour,validations_per_hour_predicted
0,50.6725
0,25.2225
0,24.8525
0,23.8225
0,25.0025
0,24.6225
0,23.6825
0,25.49
0,25.11
0,24.2
0,25.7225
0,25.2525
0,24.0625
0,24.3325
0,24.5925
0,23.7125
0,27.86
0,27.51
0,25.92
0,25.2825
0,24.7125
0,23.5425
0,25.2875
0,24.9075
0,23.9475
3,25.1725
124,82.52
196,118.67
275,114.65
198,112.75
267,111.26
210,112.5
290,110.86
267,110.06
154,117.21
246,118.12
281,131.89
309,161.96
326,137.52
300,139.38
374,132.09
311,133.75
308,91.38
182,85.39
86,50.2325
23,29.725
9,43.0825
118,269.68
284,596.09
321,622.63
273,337.93
228,334.94
176,350.05
165,351.91
173,416.34
200,348.74
241,424.39
280,522.78
388,627.73
377,746.14
310,515.2
292,334.53
160,218.2
159,116.33
277,107.18
98,29.725
39,39.625
52,43.2
447,329.04
972,614.71
1103,599.7
606,346.03
400,337.58
427,385.85
437,389.57
543,419.69
481,391.8
530,417.76
637,531.58
985,632.84
1233,694.74
846,528.22
421,328.99
153,222.91
120,116.4
197,107.65
84,39.625
14,38.78
54,42.4525
438,324.52
916,610.15
976,609.45
604,352.57
436,341.3
428,370.74
386,357.29
539,386.63
445,369.43
520,410.28
643,503.17
957,610.8
1238,738.12
938,508.55
415,316.52
176,218.27
166,118.84
199,107.51
96,38.78
27,34.755
61,42.4625
503,329.04
898,613.36
946,603.87
601,349.33
347,341.01
381,387.18
402,384.26
544,416.23
490,390.45
484,421.71
691,526.17
912,602.23
1299,735.09
988,506.72
429,328.57
199,214.6
160,114.71
183,111.36
110,34.755
29,34.28
56,46.64
510,333.02
992,608.83
1111,610.7
616,376.87
437,346.77
371,375.92
408,387.23
583,419.29
528,375.37
581,431.46
719,534.52
1067,653.45
1172,692.84
931,514.88
497,328.09
213,220.63
166,120.11
211,110.82
119,34.28
30,34.08166666666666
39,36.9025
348,174.59
704,428.44
830,567.55
616,382.13
496,345.06
398,343.25
500,347.85
597,418.13
496,351.75
525,352.19
610,350.32
660,410.41
497,404.06
493,369.59
507,316.61
300,236.67
241,118.99
394,111.82
159,34.08166666666666
53,53.4475
9,24.4275
117,81.85
252,119.29
267,114.85
234,112.95
247,111.44
207,112.84
226,111.11
314,110.0
178,117.94
255,118.85
287,132.35
348,162.02
348,137.52
283,139.38
354,132.56
318,134.22
253,89.73
164,84.29
100,53.4475
29,36.50928571428572
51,43.0125
506,319.19
989,614.1
952,606.31
591,349.15
465,336.75
422,378.82
431,383.73
539,416.38
468,379.12
499,426.73
667,533.95
969,599.14
1236,759.7
895,518.24
395,323.04
192,215.96
174,119.43
198,105.43
89,36.50928571428572
12,40.7
56,43.535
528,327.25
987,593.7
1005,626.92
600,389.27
395,344.5
406,383.48
424,381.42
537,419.14
495,391.72
493,417.64
658,533.03
890,612.15
1349,754.74
939,559.7
382,323.69
203,221.69
143,120.21
215,105.92
100,40.7
25,39.534285714285716
45,42.9225
543,328.17
983,620.38
894,637.13
551,377.81
411,334.26
415,372.15
443,368.66
522,382.6
506,366.41
448,409.37
775,503.45
973,606.41
1309,770.39
923,540.34
463,278.81
184,216.76
136,122.09
246,105.77
101,39.534285714285716
27,31.064285714285717
53,42.8225
53,42.8225
503,329.55
503,329.55
920,595.58
920,595.58
1026,629.2
1026,629.2
582,377.45
582,377.45
395,345.7
395,345.7
394,375.19
394,375.19
433,375.84
433,375.84
517,416.44
517,416.44
454,376.7
454,376.7
529,425.05
529,425.05
661,531.64
661,531.64
930,603.91
930,603.91
1219,750.33
1219,750.33
882,553.01
882,553.01
486,280.43
486,280.43
225,212.88
225,212.88
151,118.35
151,118.35
246,110.88
246,110.88
115,31.064285714285717
115,31.064285714285717
30,33.144285714285715
30,33.144285714285715
29,37.0025
306,199.54
561,499.0
776,622.02
610,390.14
443,344.77
426,359.38
506,345.26
547,417.54
458,352.31
453,346.86
619,350.04
578,413.81
556,407.21
453,365.2
476,277.41
279,234.7
168,124.01
359,106.35
195,34.141666666666666
45,50.0625
6,24.3375
133,53.12
188,74.08
232,75.03
214,71.89
222,72.2
292,70.85
284,71.33
314,75.79
260,79.89
265,97.4
336,97.26
206,133.86
190,123.97
154,131.51
244,135.11
183,136.83
180,85.87
194,64.29
99,50.0625
