validations_per_hour,validations_per_hour_predicted
0,43.39
0,0.0
0,0.0
0,0.39
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,7.64
124,64.06
196,110.79
275,121.27
198,114.01
267,119.68
210,110.69
290,128.73
267,128.8
154,151.74
246,153.5
281,140.51
309,137.02
326,114.04
300,129.34
374,169.39
311,167.91
308,176.2
182,47.36
86,33.33
23,17.87
9,8.3
118,49.99
284,381.46
321,388.48
273,45.79
228,47.44
176,47.68
165,49.12
173,47.91
200,45.77
241,46.95
280,50.95
388,340.46
377,825.11
310,353.16
292,61.82
160,58.79
159,54.87
277,68.24
98,17.87
39,38.98
52,6.92
447,12.91
972,331.13
1103,371.62
606,124.09
400,18.71
427,21.01
437,15.15
543,58.19
481,16.34
530,16.34
637,419.37
985,371.54
1233,877.08
846,344.95
421,23.72
153,34.25
120,30.63
197,50.25
84,38.98
14,32.43
54,5.85
438,18.73
916,338.43
976,347.35
604,42.88
436,29.4
428,27.42
386,27.1
539,120.56
445,22.63
520,22.63
643,400.36
957,372.88
1238,890.3
938,383.75
415,38.58
176,41.47
166,38.29
199,52.04
96,32.43
27,21.13
61,7.73
503,17.84
898,334.62
946,344.3
601,131.16
347,29.88
381,29.57
402,23.59
544,66.04
490,24.78
484,24.78
691,404.38
912,349.01
1299,909.54
988,347.07
429,43.83
199,54.81
160,38.9
183,52.11
110,21.13
29,24.8
56,6.35
510,52.56
992,14.2
1111,11.5
616,22.25
437,10.49
371,7.52
408,10.49
583,4.77
528,3.31
581,4.12
719,30.1
1067,46.57
1172,25.92
931,25.83
497,40.05
213,10.68
166,21.98
211,7.25
119,24.8
30,33.2
39,11.0
348,22.86
704,362.28
830,298.18
616,300.61
496,24.78
398,29.88
500,24.78
597,129.17
496,24.78
525,24.78
610,345.03
660,369.74
497,308.1
493,116.06
507,45.72
300,57.78
241,60.0
394,61.84
159,33.2
53,35.31
9,4.41
117,62.03
252,114.28
267,123.56
234,117.28
247,128.3
207,128.76
226,131.43
314,132.29
178,154.78
255,146.78
287,140.51
348,139.39
348,116.19
283,144.6
354,161.12
318,193.86
253,196.69
164,167.59
100,35.31
29,11.586666666666666
51,6.1
506,33.88
989,380.7
952,384.72
591,131.68
465,29.88
422,29.88
431,29.88
539,129.95
468,21.74
499,21.74
667,385.79
969,385.47
1236,878.66
895,382.42
395,32.01
192,43.84
174,41.69
198,57.66
89,11.586666666666666
12,22.27333333333333
56,6.82
528,9.87
987,382.92
1005,385.31
600,301.35
395,16.69
406,19.52
424,16.34
537,56.94
495,10.22
493,15.71
658,385.0
890,385.97
1349,879.19
939,346.1
382,23.48
203,33.42
143,25.89
215,52.13
100,22.27333333333333
25,18.513333333333332
45,7.11
543,17.84
983,384.4
894,385.57
551,146.05
411,30.06
415,30.06
443,24.78
522,121.63
506,24.15
448,24.15
775,391.89
973,385.96
1309,887.55
923,385.38
463,23.86
184,43.53
136,41.66
246,57.17
101,18.513333333333332
27,20.23
53,8.12
53,8.12
503,17.84
503,17.84
920,387.4
920,387.4
1026,388.41
1026,388.41
582,145.22
582,145.22
395,29.25
395,29.25
394,30.06
394,30.06
433,24.78
433,24.78
517,109.86
517,109.86
454,38.48
454,38.48
529,23.78
529,23.78
661,397.87
661,397.87
930,393.23
930,393.23
1219,880.98
1219,880.98
882,385.63
882,385.63
486,34.36
486,34.36
225,40.55
225,40.55
151,40.35
151,40.35
246,51.55
246,51.55
115,20.23
115,20.23
30,30.6
30,30.6
29,12.93
306,22.86
561,356.58
776,292.21
610,181.07
443,25.18
426,31.78
506,25.18
547,120.38
458,27.86
453,24.15
619,351.82
578,368.88
556,304.87
453,323.96
476,44.06
279,57.61
168,40.45
359,57.16
195,30.95
45,34.31
6,4.46
133,52.67
188,124.91
232,135.65
214,117.16
222,123.53
292,123.53
284,135.65
314,137.19
260,144.78
265,143.4
336,159.14
206,154.35
190,125.7
154,152.68
244,175.7
183,197.26
180,197.85
194,169.51
99,34.31
